# File created by shivutils (I.Shivvers)
# wl(A)   flm(10^-15 erg/s/cm2/AA)    er(optional)
5104.00   0.10209707   0.00513195
5106.00   0.10463622   0.00508146
5108.00   0.10225140   0.00510987
5110.00   0.10728829   0.00512246
5112.00   0.10220196   0.00514650
5114.00   0.11003534   0.00518317
5116.00   0.11276510   0.00514463
5118.00   0.10542667   0.00507049
5120.00   0.09440719   0.00496857
5122.00   0.10194106   0.00499935
5124.00   0.10304866   0.00497497
5126.00   0.10603911   0.00499871
5128.00   0.10429672   0.00499480
5130.00   0.09818818   0.00498041
5132.00   0.09316088   0.00493426
5134.00   0.10622895   0.00495440
5136.00   0.11238982   0.00500030
5138.00   0.10799245   0.00495767
5140.00   0.10515612   0.00495821
5142.00   0.10515919   0.00498358
5144.00   0.10007276   0.00495594
5146.00   0.09423255   0.00496334
5148.00   0.09603110   0.00503341
5150.00   0.09221103   0.00506313
5152.00   0.08963105   0.00512583
5154.00   0.08779855   0.00517000
5156.00   0.10535993   0.00525374
5158.00   0.13465801   0.00544249
5160.00   0.12521754   0.00539656
5162.00   0.11296705   0.00520690
5164.00   0.10715181   0.00506570
5166.00   0.09604516   0.00493341
5168.00   0.09187688   0.00483498
5170.00   0.09271302   0.00478514
5172.00   0.08794509   0.00475736
5174.00   0.08443664   0.00476393
5176.00   0.09794986   0.00482601
5178.00   0.08495798   0.00480531
5180.00   0.09197853   0.00483608
5182.00   0.09314618   0.00483900
5184.00   0.09110868   0.00487071
5186.00   0.08705010   0.00486018
5188.00   0.09292926   0.00488936
5190.00   0.08839785   0.00483487
5192.00   0.08982620   0.00481727
5194.00   0.08872087   0.00479453
5196.00   0.08622906   0.00484005
5198.00   0.08446212   0.00484911
5200.00   0.08197249   0.00487433
5202.00   0.07807896   0.00484371
5204.00   0.08508414   0.00483889
5206.00   0.09395994   0.00485232
5208.00   0.09558622   0.00491849
5210.00   0.08590434   0.00492127
5212.00   0.08530024   0.00494195
5214.00   0.08002866   0.00486547
5216.00   0.08206374   0.00491709
5218.00   0.08547939   0.00493250
5220.00   0.08295886   0.00490296
5222.00   0.08480672   0.00487121
5224.00   0.09553017   0.00491735
5226.00   0.08307397   0.00483727
5228.00   0.08291323   0.00479828
5230.00   0.08948865   0.00485404
5232.00   0.08629983   0.00481766
5234.00   0.07881591   0.00476738
5236.00   0.07845911   0.00477130
5238.00   0.08822435   0.00485731
5240.00   0.08122937   0.00483151
