% File created by shivutils (I.Shivvers)
% wl(A)   flm    er(optional)
4980.00   2.82899594   0.04517354
4982.00   2.82459927   0.04521139
4984.00   2.83327961   0.04503394
4986.00   2.82345295   0.04478080
4988.00   2.82475400   0.04440290
4990.00   2.80003524   0.04412510
4992.00   2.76390123   0.04369104
4994.00   2.82474422   0.04364088
4996.00   2.80522346   0.04327362
4998.00   2.76879311   0.04283857
5000.00   2.79037189   0.04283990
5002.00   2.80250931   0.04277366
5004.00   2.78454757   0.04243175
5006.00   2.81145787   0.04252002
5008.00   2.70526171   0.04254996
5010.00   2.76303315   0.04305405
5012.00   2.69868565   0.04230737
5014.00   2.75807762   0.04232564
5016.00   2.71967888   0.04204771
5018.00   2.70888638   0.04200200
5020.00   2.71591401   0.04210410
5022.00   2.74968219   0.04202837
5024.00   2.73225546   0.04183906
5026.00   2.70974636   0.04181922
5028.00   2.68372178   0.04180384
5030.00   2.65302420   0.04171949
5032.00   2.69268942   0.04196195
5034.00   2.70643830   0.04175714
5036.00   2.67471600   0.04151190
5038.00   2.67151213   0.04136957
5040.00   2.69214892   0.04135017
5042.00   2.67821074   0.04132418
5044.00   2.70524526   0.04165095
5046.00   2.65742111   0.04126383
5048.00   2.68536425   0.04152046
5050.00   2.67959237   0.04142520
5052.00   2.67115688   0.04133571
5054.00   2.65486574   0.04129008
5056.00   2.66797924   0.04131686
5058.00   2.64095759   0.04121441
5060.00   2.65302873   0.04131963
5062.00   2.64569044   0.04159286
5064.00   2.65483332   0.04158833
5066.00   2.67361879   0.04183319
5068.00   2.64608288   0.04194606
5070.00   2.62373614   0.04180716
5072.00   2.65855551   0.04178789
5074.00   2.62078142   0.04141790
5076.00   2.63511562   0.04135319
5078.00   2.64934111   0.04182417
5080.00   2.60052776   0.04258316
5082.00   2.61767578   0.04351719
5084.00   2.65222430   0.04417585
5086.00   2.65031624   0.04394599
5088.00   2.64051843   0.04304450
5090.00   2.63787508   0.04223552
5092.00   2.62170172   0.04151434
5094.00   2.64041162   0.04149728
5096.00   2.56809878   0.04136139
5098.00   2.61339808   0.04177687
5100.00   2.61027527   0.04183801
5102.00   2.61113000   0.04149660
5104.00   2.59451675   0.04103052
5106.00   2.60296607   0.04084206
5108.00   2.57017255   0.04070327
5110.00   2.58923459   0.04096340
5112.00   2.60255480   0.04102202
5114.00   2.60162473   0.04099524
5116.00   2.59743500   0.04101114
5118.00   2.56566072   0.04082466
5120.00   2.57100821   0.04061208
5122.00   2.61482811   0.04066420
5124.00   2.60113549   0.04052844
5126.00   2.54881001   0.04015840
5128.00   2.55195713   0.04028421
5130.00   2.63390827   0.04075163
5132.00   2.57073665   0.04052979
5134.00   2.61774945   0.04051170
5136.00   2.58906269   0.04036827
5138.00   2.55946803   0.04022281
5140.00   2.55674720   0.04030129
5142.00   2.57648611   0.04043517
5144.00   2.53910756   0.04030095
5146.00   2.50826406   0.04021557
5148.00   2.57344270   0.04068004
5150.00   2.55197597   0.04087333
5152.00   2.57741952   0.04110683
5154.00   2.57372475   0.04107954
5156.00   2.57601023   0.04099989
5158.00   2.56462717   0.04080917
5160.00   2.55674720   0.04066784
5162.00   2.53260136   0.04036153
5164.00   2.60396242   0.04049663
5166.00   2.56509542   0.03997868
5168.00   2.58006668   0.03989246
5170.00   2.58379745   0.03971432
5172.00   2.55450726   0.03968085
5174.00   2.59616375   0.04003187
5176.00   2.58070707   0.04001301
5178.00   2.56634617   0.04008403
5180.00   2.56716108   0.03994260
5182.00   2.59590888   0.03993323
5184.00   2.51745868   0.03960593
5186.00   2.54206371   0.03984189
5188.00   2.56565928   0.04002463
5190.00   2.58189368   0.04013205
